src, tgt
3+4-5=, 2
8+8+1=, 17
2+0+5=, 7
7-2-2=, 3
5-4-7=, -6
1+9+3=, 13
7-5+9=, 11
5+3-6=, 2
8-5+6=, 9
9+1-5=, 5
6-0-6=, 0
4+4-7=, 1
7+4-3=, 8
2+9-0=, 11
1+9+2=, 12
6-5+7=, 8
5+1+5=, 11
5+0-9=, -4
6+1+6=, 13
7+7+7=, 21
4-8+4=, 0
1+0-8=, -7
1+4+5=, 10
0+6+1=, 7
3+3-7=, -1
5+4-9=, 0
3-9-7=, -13
0-7+2=, -5
9-3-1=, 5
9+5-3=, 11
9-5-4=, 0
4-9-5=, -10
8+8-1=, 15
7+8-7=, 8
4-1-1=, 2
2-2+8=, 8
7-0+7=, 14
9+1+6=, 16
9-9+6=, 6
8+0-7=, 1
1-2-9=, -10
5-4+8=, 9
9+0-9=, 0
6-4-1=, 1
1+2-3=, 0
7+8-8=, 7
7+9+2=, 18
9+7-9=, 7
6-3-3=, 0
9+3+1=, 13
7-0-1=, 6
7+5+8=, 20
7+7-7=, 7
3+7-9=, 1
7-9-3=, -5
8-0-7=, 1
6+2+2=, 10
5-3+9=, 11
3+6-1=, 8
9-3+0=, 6
7-5-8=, -6
9+7-7=, 9
6+6+6=, 18
7+5-8=, 4
6+4+5=, 15
5+5+8=, 18
9+2+6=, 17
3+1-4=, 0
6+7-1=, 12
3+1+0=, 4
9-6+2=, 5
0-8+8=, 0
0-3-3=, -6
1+9+0=, 10
0+8+2=, 10
7+7-1=, 13
2-0+2=, 4
7-7+9=, 9
8-7-4=, -3
9-5-6=, -2
4-2-9=, -7
6+9+9=, 24
7+6-6=, 7
2+5-5=, 2
9+7-0=, 16
2+9+7=, 18
6+5+2=, 13
1+4-4=, 1
8+5-5=, 8
8-7-0=, 1
7-7+1=, 1
3+5-8=, 0
6-7-4=, -5
2-4+0=, -2
1-4+8=, 5
4+7+8=, 19
0-5+2=, -3
0+0+5=, 5
2-7+3=, -2
3-3-0=, 0
9-0+6=, 15
